p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
91,week3,London Cereal Bites,London,Cereal Bites,Not Mentioned,Veg,Biscuits,8,96,"Corn Grit,Sugar,Vegetable Fat,Wheat Semolina,Cocoa Powder,Whey Powder,Palm Oil,Rice Flour,Emulsifier-INS 471,Salt,Vanillin,Soya Lecithin",Synthetic Food Colouring-Allura Red-E129 ,Strawberry,Ulu Tiram,"Wheat,Milk,Traces of peanuts,Soya",80g,97 Kcal,,0.7g,14.1g,5.3g,,4.2g,2.3g,,,,,45mg,,,0.4g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,week3,Heritage Milk Cake,Heritage,Milk Cake,Not Mentioned,Veg,Dairy Snack,0.5,6,"Sugar,Ghee,Skimmed Milk Powder",Not Mentioned,Not Mentioned,Chittoor,Not Mentioned,200g,545 Kcal,,6.6g,49.9g,,41.3g,35g,,,,,,78mg,,,,65mg,,,,171mg,,,,,,,,,,,,,,,,,,,,,,,,
93,week3,RiteBite Work-Out,RiteBite,Work-Out,Naturell (India) Pvt Ltd,Veg,Nutrition bar,9,108,"Soy Nuggets,Rice Crispies,Whole Grain Rolled Oats,Corn Syrup,Whey Protein Concentrate,Dietary Fiber,Fructooligosacchride-FOS,Cashew Nuts,Raisins,Almonds,Dextrose Monohydrate,Fructose,Glycerin,Cocoa Solids,Edible Gum-INS 41,Soy Protein Isolate,Emulsifier-INS 322,Emulsifier-INS 471,Flaxseeds,Salt,Citric Acid,Added Vitamins,Minerals,Antioxidants,Amino Acids",Not Mentioned,Not Mentioned,Hyderabad,Not Mentioned,50g,210 Kcal,,10g,24g,7.9g,,7.6g,3.9g,0g,,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,week4,Pooof! Wafflets Belgian Chocolate,Pooof!,Wafflets Belgian Chocolate,Future consumer Limited,Veg,Wafers,9,108,"Wheat Flour,Corn Starch,Edible Vegetable Oil-Palm Oil,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Salt,Emulsifier-INS 322,Sugar,Edible Vegetable Fat-Palm Oil,Milk Solids,Maltodextrin,Dextrose,Cocoa Powder,Emulsifier-INS 471,Emulsifier-INS 322,Salt",Permitted Food Colour -E150d,Chocolate,Tumkar,"Soya,Wheat Gluten",30g,487 Kcal,,5g,65g,36g,,23g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,week4,Maiyas Kabuli Channa,Maiyas,Kabuli Channa,Not Mentioned,Veg,Savouries,6,72,"Chick Peas,Edible Vegetable Oil,Red Chilli Powder,Salt,Black Salt,Coriander Powder,Cumin Powder,Nutmeg Powder,Pepper Powder,Clove Powder,Cardamom Powder",Not Mentioned,Not Mentioned,Ramanagaram,"Made in a facility that processes Peanut,Treenuts,Milk,Wheat,Sesame",150g,447 Kcal,,15.4g,60.2g,0.0g,,16.1g,8.4g,0.0g,5.3g,1.9g,,640.0mg,,,,0.0mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,week4,Candyman Jellicious Jelimals,Candyman,Jellicious Jelimals,ITC Ltd,Veg,Confectionery,12,144,"Sugar,Liquid Glucose,Gelling Agent-INS 440,Fruit Powders-Mango,Pineapple,Strawberry,Orange,Acidity Regulator-INS 330,Acidity Regulator-INS 331(iii)","Permitted Synthetic Food Colours-INS 110,INS 102,INS 124","Mango,Pineapple,Orange,Strawberry",Coimbatore,Not Mentioned,32.5g,323 Kcal,,0.0g,80.7g,63.7g,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,week4,Baker Street Breadsticks Sesame,Baker Street,Breadsticks Sesame,Sarjena Foods Private Limited,Veg,Savouries,6,72,"Wheat Flour,Edible Vegetable Oil & Fat -Palm,Gluten,Yeast,Red Chilli Powder,Flour Treatment Agent-INS 1100(i),Garlic Powder,Sesame Seeds,Custard Powder,Salt,Spices",Not Mentioned,Not Mentioned,Ghaziabad,"Wheat, Gluten",100g,332 Kcal,,6g,38g,1g,,17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,week4,Suriyan Masala Gold Peanuts,Suriyan,Masala Gold Peanuts,Not Mentioned,Veg,Peanut Snack,2,24,"Peanut,Chilli Powder,Edible Vegetable Oil-Palmolein Oil,Salt",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,125g,599 Kcal,,4g,15g,4g,,53g,9g,,,,,920mg,,,9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,week4,Lion Deseeded Dates,Lion,Deseeded Dates,Not Mentioned,Veg,Fruit Snacks,6,72,Not Given,Not Mentioned,Not Mentioned,Trichy,Not Mentioned,250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,week4,Golden Breads Sweet Bread,Golden Breads,Sweet Bread,Not Mentioned,Veg,Bread,0.1,1,"Refined Flour,Water,Vegetable Shortening,Yeast,Salt,Sugar,Emulsifier,Preservative",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,week4,Relish Peanut Chikkis-Mango,Relish,Peanut Chikkis-Mango,Not Mentioned,Veg,Peanut Snack,3,36,"Peanut,Jaggery,Sugar,Liquid Glucose",Not Mentioned,Butterscoth,Chennai,Not Mentioned,40g,476 Kcal,,13.65g,53.76g,,,22.96g,,,,,,,5.88g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,week4,Tasty Treat Digestive,Tasty Treat,Digestive,Future consumer Limited India,Veg,Biscuits,9,108,"Wheat Flour,Edible Vegetable Oil-Palm Oil,Whole Wheat Flour,Sugar,Wheat Bran,Invert Sugar Syrup,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Raising Agent-INS 450(ii),Oatmeal,Edible Common Salt,Malt Extract,Acidity Regulator-INS 296,Dough Conditioner-INS 223",Not Mentioned,Not Mentioned,Sirmour,Not Mentioned,100g,489 Kcal,,7.3g,67.1g,16.1g,,21.2g,10.7g,0.0g,8.4g,2.2g,,,,,6.0g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,week4,RiteBite Sugarless,RiteBite,Sugarless,Naturell (India) Pvt Ltd,Veg,Nutrition bar,7,84,"Rice Crispies,Soy crispies,Whole Grain Rolled Oats,Maltitol Syrup,Dietary Fiber,Fructooligosacchride-FOS,Edible Vegetable Oil,Fructose,Milk Solids,Cocoa Powder,Glycerin,Cashew Nut,Edible Gum-INS 412,Soy Protein Isolate,Emulsifier-INS 322,Emulsifier-INS 471,Added Vitamins,Minerals,Antioxidants,Amino Acids",Natural and Nature identical flavours,Not Mentioned,Hyderabad,Not Mentioned,27g,366.6 Kcal,,6.81g,41.85g,,,12g,,0g,,,24.4g,,,,10g,0g,,,,296mg,,3704 IU,0.519mg,0.593mg,6.67mg,,0.74mg,,0.37mcg,74.07mg,9.26mcg,5.56 mg,,,,48.2mcg,40.7mcg,66mg,137mg,,,,,
104,week4,Cheetos Cheez Puff,Cheetos,Cheez Puff,Pepsico,Veg,Savouries,4,48,"Corn Meal,Edible Vegetable Oil- Palmolein Oil,Gram Meal,Sugar,Milk Solids,Tomato Powder,Starch,Cheese Powder,Calcium Carbonate-INS 170(i),Pepper Powder,Capsicum Powder,Clove Powder,Citric Acid(330)",Not Mentioned,Not Mentioned,Pune,Not Mentioned,30g,513 Kcal,,7.7g,57.5g,54g,,28.0g,13.0g,0.1g,,,,819mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,week4,RiteBite Merry Berry,RiteBite,Merry Berry,Naturell (India) Pvt Ltd,Veg,Nutrition bar,9,108,"Rice Crispies,Soy crispies,Whole Grain Rolled Oats,Corn Syrup,Cranberries,Black Raisins,Golden Raisins,Papaya Chunks,Cane Sugar,Vegetable Oil,Mixed Fruit Powder,Raspberry,Juice Concentrate,Milk Solids,Glycerine,Edible Starch,Edible Gum-INS 412,Emulsifier-INS 322,Emulsifier-INS 471,Soy Protein Isolate,Salt,Citric Acid,Minerals,Tribasic Calcium Phosphate & Vitamin A,C,E",Natural and Nature identical flavours,Not Mentioned,Hyderabad,Not Mentioned,35g,357 Kcal,,9.1g,65.71g,,,6.57g,,0g,,,,,,,,,,,,343 mg,,2857 IU,,,,,,,,85.7mg,,4286 mcg,,,,,,,,,,,,
